sketch_uploaded;consent;map_frame_created;map_frame_uuid;bbox;centroid;format;orientation;orientation_det
2024-08-12 08:19:38.847 +0200;false;2024-08-12 06:10:31.240;92c781f4-332f-435e-af4a-af91d1fc26a9;POLYGON((138.64964505548355 -34.92174834519218,138.65126727058507 -34.92174834519218,138.65126727058507 -34.920635011765725,138.64964505548355 -34.920635011765725,138.64964505548355 -34.92174834519218));POINT(138.6504561630343 -34.92119168036692);a4;landscape;landscape
2024-08-12 15:09:40.246 +0200;false;2024-08-12 15:06:05.800;d3ea2393-4ac3-4c10-a668-7746c34f3ddc;POLYGON((72.59539453292152 22.958416945763346,72.598091817123 22.958416945763346,72.598091817123 22.96138423972613,72.59539453292152 22.96138423972613,72.59539453292152 22.958416945763346));POINT(72.59674317502227 22.95990060088269);a4;portrait;portrait
2024-08-12 15:12:07.143 +0200;false;2024-08-12 15:06:05.800;d3ea2393-4ac3-4c10-a668-7746c34f3ddc;POLYGON((72.59539453292152 22.958416945763346,72.598091817123 22.958416945763346,72.598091817123 22.96138423972613,72.59539453292152 22.96138423972613,72.59539453292152 22.958416945763346));POINT(72.59674317502227 22.95990060088269);a4;portrait;portrait
2024-08-15 23:28:29.441 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-15 23:31:31.646 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-15 23:37:57.527 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-15 23:54:33.712 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-15 23:55:41.840 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:02:01.108 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-16 00:02:10.104 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
